,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"왼쪽 끝 좌표: (0, 0), 중간 좌표: (48, 24), 끝 좌표(96, 48)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"정렬 텍스트: LEFT, CENTER, RIGHT, L, C, R 각각 왼쪽정렬, 가운데정렬, 오른쪽정렬",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"좌표 0~96, 0~48 범위를 벗어나더라도 렌더링이 가능합니다",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,부족하면 더 적어도 작동합니다,,,,,,
,번호,표지판타입,좌표갯수,x1,y1,텍스트1,텍스트 배율,색,정렬1,x2,y2,텍스트2,텍스트 배율,색,정렬2,x3,y3,텍스트3,텍스트 배율,색,정렬3,x4,y4,텍스트4,텍스트 배율,색,정렬4,x5,y5,텍스트5,텍스트 배율,색,정렬5,
,08-305,default,3,146,15,08-305,1,#0000FF,LEFT,138,10,신소재공학과사무실,1.75,#FFFFFF,RIGHT,138,29,Dept. of Materials Science and Engineering,0.7,#808080,RIGHT,,,,,,,,,,,,,
,08-306,default,3,184,30,08-306,1,#0000FF,RIGHT,10,10,세미나실,1.75,#FFFFFF,LEFT,10,29,Seminar Room,0.75,#808080,LEFT,,,,,,,,,,,,,
,08-307,default,3,184,30,08-307,1,#0000FF,RIGHT,10,10,후막적층재료실험실,1.75,#FFFFFF,LEFT,10,29,Thick film Materials Lab.,0.75,#808080,LEFT,,,,,,,,,,,,,
,08-308,default,3,184,30,08-308,1,#0000FF,RIGHT,10,10,광전재료실험실,1.75,#FFFFFF,LEFT,10,29,Optoelectronic Materials Lab.,0.75,#808080,LEFT,,,,,,,,,,,,,
,08-309,default,3,184,30,08-309,1,#0000FF,RIGHT,10,10,전략소재및재자원화연구실,1.75,#FFFFFF,LEFT,10,29,Lab. of Strategy Materials and Recycle,0.75,#808080,LEFT,,,,,,,,,,,,,
,08-310,default,5,17,2,08-310,0.85,#FFFFFF,LEFT,104,10,안전공학과 교수,0.35,#808080,LEFT,104,16,Dept of Safety Engineering Professor,0.35,#808080,LEFT,104,22,김태훈,1.5,#FFFFFF,LEFT,142,27,Taehoon Kim,0.75,#808080,LEFT,
,08-311,default,3,184,30,08-311,1,#0000FF,RIGHT,10,10,복합재료실험실,1.75,#FFFFFF,LEFT,10,29,Composite Materials Lab.,0.75,#808080,LEFT,,,,,,,,,,,,,
,08-312,default,3,184,30,08-312,1,#0000FF,RIGHT,10,10,에너지소재연구실,1.75,#FFFFFF,LEFT,10,29,Energy Materials Lab.,0.75,#808080,LEFT,,,,,,,,,,,,,
,08-313,default,3,184,30,08-313,1,#0000FF,RIGHT,10,10,SDT연구실험실,1.75,#FFFFFF,LEFT,10,29,SDT Lab.,0.75,#808080,LEFT,,,,,,,,,,,,,
,08-314,default,3,184,30,08-314,1,#0000FF,RIGHT,10,10,탕비실,1.75,#FFFFFF,LEFT,10,29,Office Pantry,0.75,#808080,LEFT,,,,,,,,,,,,,
